user_id,item_id,timestamp,genre,user_count
5,2987,978243170,Adventure Animation Film-Noir,82
5,2333,978242607,Drama,82
5,1175,978244759,Comedy Sci-Fi,82
5,2337,978243121,Drama,82
5,1535,978245513,Drama Romance,82
5,1392,978245645,Comedy Drama,82
5,866,978245334,Crime Drama Romance Thriller,82
5,2770,978241981,Comedy,82
5,1759,978245513,Drama,82
5,506,978245999,Drama,82
5,1250,978241112,Drama War,82
5,509,978245829,Drama Romance,82
5,41,978244692,Drama War,82
5,1610,978245645,Action Thriller,82
5,2997,978241556,Comedy,82
5,2700,978243085,Animation Comedy,82
5,296,978244177,Crime Drama,82
5,728,978244759,Comedy,82
5,2560,978242977,Drama Horror,82
5,2858,978241390,Comedy Drama,82
5,1046,978244114,Drama Romance,82
5,515,978245891,Drama,82
5,50,978244205,Crime Thriller,82
5,1192,978244493,Documentary,82
5,377,978245999,Action Romance Thriller,82
5,3083,978244114,Comedy Drama,82
5,2427,978246450,Action Drama War,82
5,2355,978241981,Animation Children's Comedy,82
5,593,978244177,Drama Thriller,82
5,2571,978244493,Action Sci-Fi Thriller,82
5,2289,978244568,Comedy Drama,82
5,162,978244624,Documentary,82
5,3016,978242016,Horror,82
5,3163,978244852,Drama,82
5,2291,978244808,Drama Romance,82
5,1635,978245314,Drama,82
5,2723,978242788,Action Adventure Comedy,82
5,1921,978246162,Sci-Fi Thriller,82
5,2580,978242607,Crime,82
5,896,978244493,Drama,82
5,176,978244568,Comedy,82
5,608,978244177,Crime Drama Thriller,82
5,1715,978245891,Thriller,82
5,1649,978244667,Documentary,82
5,1213,978244177,Crime Drama,82
5,2599,978242323,Comedy,82
5,2959,978242541,Drama,82
5,908,978241072,Drama Thriller,82
5,1580,978245999,Action Adventure Comedy Sci-Fi,82
5,1729,978245763,Crime Drama,82
5,2890,978245445,Drama War,82
5,2029,978246555,Comedy Romance,82
5,551,978246504,Children's Comedy Musical,82
5,1513,978242977,Comedy,82
5,2318,978242640,Comedy,82
5,1517,978245568,Comedy,82
5,1089,978244205,Crime Thriller,82
5,3260,978245065,Drama,82
5,913,978242740,Film-Noir Mystery,82
5,1730,978244603,Drama,82
5,1449,978244830,Comedy,82
5,1732,978245740,Comedy Crime Mystery Thriller,82
5,2390,978242679,Comedy,82
5,1734,978245334,Comedy Drama,82
5,3267,978244893,Action Thriller,82
5,919,978241072,Adventure Children's Drama Musical,82
5,2395,978243054,Comedy,82
5,994,978244540,Drama,82
5,1885,978245568,Comedy Drama,82
5,348,978245863,Comedy,82
5,2323,978245445,Documentary,82
5,29,978245065,Adventure Sci-Fi,82
5,562,978244603,Comedy Drama,82
5,1095,978245065,Drama,82
5,1529,978245037,Drama,82
5,2908,978241981,Drama,82
5,2692,978242977,Action Crime Romance,82
5,32,978244962,Drama Sci-Fi,82
5,1897,978246426,Drama Romance,82
5,1171,978244852,Comedy,82
5,34,978244603,Children's Comedy Drama,82
5,714,978244493,Western,82
14,2997,978200689,Comedy,13
14,1263,978201280,Drama War,13
14,2731,978201317,Drama,13
14,3033,978200320,Comedy Sci-Fi,13
14,2686,978200975,Drama Mystery,13
14,2762,978201003,Thriller,13
14,2692,978200975,Action Crime Romance,13
14,3578,978200828,Action Drama,13
14,296,978201244,Crime Drama,13
14,2920,978200528,Drama Romance,13
14,3081,978201003,Horror Romance,13
